nome,genero,presenca_plenario,ausencia_justificada_plenario,ausencia_nao_justificada_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_nao_justificada_comissao,data_nascimento,quant_viagem,salario_bruto,gasto_total_par,gasto_total_gab,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab
FERNANDO BEZERRA DE SOUZA COELHO FILHO,H,81.0,5.0,6.0,6.0,4.0,39.0,28/02/1984,0,33763.0,284724.73,1087816.23,32904.38,35321.53,46599.6,42640.35,22991.65,38141.86,34943.44,7902.03,1571.47,20930.42,778.0,106461.21,106461.21,106461.21,106461.21,107548.75,111277.47,111277.47,110295.4,110786.15,110786.15,0
FREDERICO BORGES DA COSTA,H,83.0,9.0,0.0,14.0,1.0,5.0,12/07/1977,0,33763.0,284352.33,1077826.83,14730.3,29479.43,41701.41,55095.45,44266.74,24177.23,21336.08,23057.48,15301.98,12687.52,2518.71,110167.89,108567.01,109305.97,109305.97,109563.08,108452.71,101554.25,109006.01,107977.56,103926.38,0
ANTONIO RIBEIRO,H,86.0,6.0,0.0,30.0,4.0,14.0,03/03/1944,0,33763.0,361343.24,1106146.52,40812.78,41699.11,53527.13,42212.73,53135.08,32573.14,21560.81,17788.85,19494.29,37582.25,957.07,110889.19,110889.19,110889.19,110313.55,109560.78,110047.86,110889.19,110889.19,110889.19,110889.19,0
FLAVIANO FLÁVIO BAPTISTA DE MELO,H,82.0,10.0,0.0,3.0,0.0,1.0,17/11/1949,0,33763.0,438870.21,1104480.65,34282.68,37155.36,51227.13,29713.9,79405.7,25480.53,38048.4,39592.1,54822.12,29142.29,20000.0,107904.83,107983.89,111367.03,111659.62,111659.62,111659.62,111659.62,110227.3,110179.56,110179.56,0
FRANCO CARTAFINA GOMES,H,86.0,3.0,3.0,44.0,4.0,15.0,03/11/1986,0,33763.0,318135.2,1112857.76,28065.1,33009.58,43304.17,45119.68,52088.32,34699.31,22247.15,51692.11,5409.62,2332.94,167.22,110962.06,110962.06,110962.06,110962.06,111166.17,111568.67,111568.67,111568.67,111568.67,111568.67,0
FILIPE BARROS BAPTISTA DE TOLEDO RIBEIRO,H,82.0,10.0,0.0,13.0,3.0,10.0,29/05/1991,0,33763.0,282154.57,938905.52,39534.77,31282.38,49744.0,46765.21,50641.59,43365.67,18271.75,239.65,40.19,1509.17,760.19,97669.43,98842.46,98853.61,101434.99,105314.69,105934.61,105601.33,88221.2,71613.4,65419.8,0
FLÁVIO RODRIGUES NOGUEIRA,H,91.0,1.0,0.0,39.0,0.0,4.0,27/02/1953,0,33763.0,395772.41,1106884.69,38329.27,41835.51,39604.13,37048.37,42494.03,47068.0,42082.62,36727.61,36484.39,34098.48,0.0,110937.69,110937.69,111074.66,110962.76,111467.18,111544.27,111544.27,111544.27,111544.27,105327.63,0
FRANCISCO RODRIGUES VALE JUNIOR,H,87.0,3.0,2.0,25.0,2.0,6.0,15/03/1969,0,33763.0,309142.86,1076485.1,17093.58,30616.27,50032.21,33547.1,38718.63,30008.06,31405.2,20504.95,10000.71,26688.21,20527.94,110440.58,110440.58,110440.58,110440.58,108630.41,108370.3,101304.39,105472.56,105472.56,105472.56,0
FERNANDO MONTEIRO DE ALBUQUERQUE,H,87.0,5.0,0.0,17.0,4.0,3.0,17/09/1976,1,33763.0,320877.65,1095114.7,33166.59,36756.35,50815.63,46090.78,35207.06,35106.58,33522.18,12348.74,7355.49,29824.28,683.97,111665.62,111462.42,111451.57,108833.71,111665.62,111665.62,111665.62,110146.43,102361.66,104196.43,0
FERNANDO RODOLFO TENORIO DE VASCONCELOS,H,83.0,4.0,5.0,17.0,3.0,51.0,17/11/1983,0,33763.0,301147.26,1015741.66,34398.75,35640.31,46954.27,61790.5,42253.99,30175.92,26376.1,10140.69,7883.19,5533.54,0.0,110824.9,108472.48,109833.05,104726.42,110607.73,107797.77,106334.87,77927.2,90812.99,88404.25,0
GELSON DE AZEVEDO ALMEIDA,H,88.0,0.0,4.0,17.0,0.0,13.0,10/01/1965,0,33763.0,320500.73,1112585.65,17208.87,18142.04,73589.54,23955.82,60671.3,21380.73,24088.36,10719.92,15215.86,4613.07,50915.22,111429.1,111429.1,111429.1,111207.7,111523.22,111580.75,111580.75,111580.75,111580.75,109244.43,0
GENECIAS MATEUS NORONHA,H,58.0,31.0,3.0,0.0,0.0,0.0,13/03/1963,0,33763.0,181416.71,1012113.82,6912.14,17143.52,33463.86,26327.99,19477.71,14497.11,13104.39,10260.84,26907.04,13322.11,0.0,92989.03,98109.44,100534.9,101430.22,99984.28,106905.63,103040.08,103040.08,103040.08,103040.08,0
ELIÉSER GIRÃO MONTEIRO FILHO,H,85.0,4.0,3.0,47.0,3.0,6.0,08/05/1955,0,33763.0,358841.94,1114542.85,37148.25,58184.62,39315.76,43316.28,45230.05,37619.01,23969.66,26317.64,11257.52,35733.77,749.38,111550.61,111550.61,111550.61,111550.61,111550.61,110587.36,111550.61,111550.61,111550.61,111550.61,0
ROBERTO SEBASTIÃO PETERNELLI JUNIOR,H,89.0,0.0,3.0,132.0,0.0,21.0,06/08/1954,0,33763.0,219516.2,730045.66,17011.69,44800.56,44569.19,22660.96,25933.02,28500.81,13743.54,9053.72,5578.56,7617.8,46.35,67824.41,70484.71,70484.71,74499.52,79446.76,86394.48,95109.95,76397.8,54701.66,54701.66,0
GERVÁSIO AGRIPINO MAIA,H,81.0,5.0,6.0,36.0,5.0,14.0,14/04/1975,0,33763.0,269558.98,1105894.42,23330.03,37075.33,36581.92,43748.87,45588.36,26193.97,18498.45,14012.0,10194.19,13781.2,554.66,111615.5,110598.88,110561.62,110298.77,109955.04,109955.04,110552.62,111283.45,110263.58,110809.92,0
FERNANDO LÚCIO GIACOBO,H,86.0,1.0,5.0,13.0,1.0,7.0,17/12/1970,0,33763.0,369972.81,1096371.61,27455.42,49074.18,58575.31,7832.83,52242.7,38497.82,8820.58,6333.82,4309.92,66740.23,50090.0,110392.0,111089.37,110699.96,111659.53,111616.68,104856.92,111659.53,110779.99,111160.32,102457.31,0
GILLIANO FRED NASCIMENTO CUTRIM,H,76.0,5.0,11.0,22.0,4.0,27.0,26/10/1979,0,33763.0,406001.14,1115308.02,46898.79,47176.96,48122.54,51226.09,58582.87,18377.58,25986.45,21934.68,12653.68,75041.5,0.0,111301.75,111301.75,111619.5,111641.41,111641.41,111641.41,111641.41,111641.41,111641.41,111236.56,0
EUGENIO JOSÉ ZULIANI,H,51.0,17.0,24.0,9.0,17.0,37.0,13/01/1976,0,33763.0,285492.67,1080042.52,35715.9,40468.18,42837.22,40713.17,63995.25,18553.55,16151.75,15973.11,2755.29,7600.75,728.5,111641.38,111641.38,111641.38,106897.3,106370.18,106370.18,106370.18,106370.18,106370.18,106370.18,0
