nome,genero,presenca_plenario,ausencia_justificada_plenario,ausencia_nao_justificada_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_nao_justificada_comissao,data_nascimento,quant_viagem,salario_bruto,gasto_total_par,gasto_total_gab,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab
ADRIANA MIGUEL VENTURA,M,92.0,0.0,0.0,75.0,0.0,0.0,06/03/1969,0,33763.0,32744.36,458319.07,91.69,11201.41,6.17,12078.93,2012.14,3326.52,2525.67,464.61,481.48,555.74,0.0,46239.34,47876.22,45155.54,47484.47,50501.69,47810.2,53606.39,43951.57,36862.01,38831.64,0
ANGELA REGINA HEINZEN AMIN HELOU,M,88.0,4.0,0.0,61.0,1.0,0.0,20/12/1953,1,33763.0,335539.85,1087642.74,32420.59,44149.4,54673.99,50177.8,45917.82,36925.47,34965.84,19369.26,7069.38,9738.31,131.99,108469.01,109010.6,110962.23,109111.95,109111.95,108914.61,107061.71,107061.71,107061.71,110877.26,0
ALINE SLEUTJES,M,81.0,11.0,0.0,25.0,7.0,5.0,26/07/1979,0,33763.0,266844.87,1047581.56,18718.1,42340.7,44589.79,28504.61,62024.69,25909.67,20829.47,10742.51,4466.72,8102.19,616.42,108562.89,107823.39,108054.31,102862.93,104407.0,105903.3,107141.12,104241.48,105514.93,93070.21,0
ANTÔNIA LUCILÉIA CRUZ RAMOS CÂMARA,M,12.0,0.0,6.0,0.0,0.0,0.0,17/07/1970,0,33763.0,97118.4,0.0,0,0,0,0,0,0,10196.26,16452.3,16232.59,51487.25,2750.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
ALESSANDRA SILVA RIBEIRO,M,82.0,6.0,4.0,54.0,10.0,10.0,04/07/1974,0,33763.0,256412.0,757373.84,21847.22,26068.76,54557.47,38257.92,39369.73,21249.25,15093.79,19228.94,15225.62,5513.3,0.0,73391.76,71163.83,70424.23,71271.43,75507.41,78795.1,74373.3,79377.41,79377.41,83691.96,0
ALICE MAZZUCO PORTUGAL,M,91.0,0.0,1.0,70.0,0.0,28.0,16/05/1959,0,33763.0,380746.29,1103738.12,64843.86,35974.1,45630.28,30967.04,44643.22,33926.95,26133.78,37427.88,27482.05,33668.9,48.23,109364.13,110762.68,110837.35,110137.04,110137.04,110137.04,110137.04,110131.96,111046.92,111046.92,0
ALINE PARANHOS VARONIL GURGEL,M,78.0,11.0,3.0,16.0,7.0,27.0,25/11/1980,0,33763.0,425828.0,1109475.15,42916.79,55902.66,41953.93,40253.23,74755.05,10460.16,40552.36,44238.07,50064.19,24731.56,0.0,111429.18,111160.99,111429.2,111429.2,111429.2,111429.2,111429.2,111429.2,109688.29,108621.49,0
BRUNA DIAS FURLAN VICENTE,M,39.0,0.0,4.0,0.0,0.0,0.0,28/04/1983,0,33763.0,77114.78,986727.25,12812.15,15234.17,17325.26,17939.4,0,0,0,283.61,5769.8,6302.2,1448.19,102008.81,103337.22,104665.63,85126.66,89553.78,105191.41,111416.96,104020.17,87826.95,93579.66,0
ÁUREA CAROLINA DE FREITAS E SILVA,M,75.0,17.0,0.0,22.0,5.0,5.0,20/11/1983,0,33763.0,297751.16,1106538.1,15477.79,17211.99,32300.99,50919.99,47628.8,36660.42,25545.07,22852.05,27143.68,22010.38,0.0,110482.87,110320.03,111502.08,111502.08,111502.08,111499.25,111417.08,111417.08,111417.08,105478.47,0
BEATRIZ KICIS TORRENTS DE SORDI,M,89.0,3.0,0.0,56.0,3.0,4.0,19/09/1961,1,33763.0,217096.6,1114049.3,25190.49,25724.28,26105.29,27799.7,29874.33,15473.15,16116.39,14243.78,13146.49,22163.74,1258.96,111271.47,111271.47,111271.47,111271.47,111271.47,111538.39,111538.39,111538.39,111538.39,111538.39,0
BENEDITA SOUZA DA SILVA SAMPAIO,M,45.0,47.0,0.0,22.0,18.0,15.0,26/04/1942,0,33763.0,278916.75,1114575.79,27548.63,36708.62,32332.8,38159.47,42904.22,28769.87,17965.43,15365.95,9555.15,28558.54,1048.07,111495.9,111448.24,111228.98,111228.98,111228.98,111354.55,111647.54,111647.54,111647.54,111647.54,0
HILKEA CARLA DE SOUZA MEDEIROS LIMA,M,91.0,0.0,1.0,62.0,0.0,5.0,02/07/1976,0,33763.0,321096.04,1112342.45,24586.19,44761.07,52267.87,31382.92,38231.83,32701.13,15878.04,19847.11,20700.3,40204.82,534.76,111271.39,111271.39,111271.39,111271.39,111271.39,110132.42,111538.26,111238.3,111538.26,111538.26,0
CARLA ZAMBELLI SALGADO DE OLIVEIRA,M,79.0,12.0,1.0,10.0,5.0,12.0,03/07/1980,1,33763.0,275642.88,1095690.52,35310.53,32694.44,28196.83,21729.23,51011.16,22816.95,21987.75,14571.57,14918.4,31400.35,1005.67,111549.61,111299.27,110215.67,105302.52,108206.27,105657.79,108726.99,111400.84,111665.78,111665.78,0
CARMEN EMÍLIA BONFÁ ZANOTTO,M,92.0,0.0,0.0,62.0,0.0,15.0,06/10/1962,0,33763.0,239101.91,981103.21,15385.24,28801.18,31514.98,30373.86,35066.26,31040.14,26674.03,14544.84,11565.37,14136.01,0.0,101754.2,102247.05,101219.81,102930.96,102930.96,101603.76,86458.75,91918.18,92236.93,97802.61,0
CHRISTINE NOGUEIRA DOS REIS TONIETTO,M,88.0,2.0,2.0,59.0,4.0,6.0,14/05/1991,0,33763.0,133178.31,789351.13,11369.6,10173.11,9970.3,13872.46,12050.51,19466.91,25628.43,11169.95,3255.31,15855.62,366.11,69040.75,69101.84,69101.84,71632.9,76266.55,85504.27,88597.5,88597.5,88597.5,82910.48,0
CELINA LEAO HIZIM FERREIRA,M,71.0,2.0,19.0,18.0,1.0,23.0,02/03/1977,1,33763.0,101582.4,1102763.97,1190.04,11101.64,13853.72,18215.77,17835.36,15949.33,14392.13,6642.14,2402.27,0.0,0.0,110531.62,110840.11,110489.74,109406.57,110401.05,109266.63,109432.72,110798.51,110798.51,110798.51,0
CAROLINE RODRIGUES DE TONI,M,91.0,0.0,1.0,45.0,1.0,11.0,01/09/1986,0,33763.0,108667.23,910528.01,1577.63,10066.51,14101.09,11285.98,24174.38,15473.46,14468.42,7103.83,3096.89,5223.46,2095.58,84266.39,86627.52,88148.33,92593.08,96367.63,96367.63,93146.11,92800.95,92800.95,87409.42,0
VANDA DENIR MILANI NOGUEIRA,M,72.0,13.0,7.0,31.0,11.0,22.0,17/09/1953,0,33763.0,395931.24,1103843.63,45066.55,49027.62,29462.19,36127.46,71009.98,22618.07,41106.51,44816.37,25900.0,30796.49,0.0,109028.91,110980.61,111507.9,109468.16,111544.28,110383.9,111280.73,111580.69,111580.69,106487.76,0
CLARISSA BARROS ASSED MATHEUS DE OLIVEIRA,M,86.0,0.0,6.0,37.0,0.0,14.0,02/07/1982,0,33763.0,297350.01,1112908.07,7971.69,16907.3,54747.61,49861.8,57969.92,53352.84,20869.99,15804.77,9631.78,10118.65,113.66,110918.38,110319.03,110945.19,111532.21,111532.21,111532.21,111532.21,111532.21,111532.21,111532.21,0
DANIELA MOTE DE SOUZA CARNEIRO,M,80.0,10.0,2.0,42.0,9.0,9.0,10/02/1976,0,33763.0,309318.38,1097670.85,35968.58,36604.61,48540.64,61049.56,50236.04,27308.97,20808.56,13155.35,11253.04,4366.75,26.28,111004.43,110578.75,110970.4,111234.95,111234.95,111234.95,111234.95,110155.05,109870.15,100152.27,0
CHRISTIANE DE SOUZA YARED,M,83.0,9.0,0.0,27.0,6.0,5.0,23/02/1960,0,33763.0,330359.44,1091077.27,23957.3,44324.43,35762.57,54189.41,41149.82,32246.76,23122.06,18987.0,15446.67,40295.66,877.76,108772.44,108772.44,108772.44,108772.44,108366.22,104176.55,111586.94,111586.94,111586.94,108683.92,0
SORAYA DE SOUZA MANNATO,M,92.0,0.0,0.0,111.0,0.0,64.0,10/03/1961,0,33763.0,279649.17,1100822.25,31353.75,37397.79,57239.48,36607.77,43635.09,15176.75,23098.74,18128.98,8706.64,8304.18,0.0,111501.77,111501.77,110559.03,110173.36,110920.06,110221.1,107709.88,107907.12,109518.27,110809.89,0
ROSANA DE OLIVEIRA VALLE,M,87.0,3.0,2.0,44.0,2.0,2.0,08/05/1969,0,33763.0,337897.5,1050130.62,21183.33,29131.46,53484.17,52840.25,41134.85,34551.95,41195.46,30158.94,20867.06,13125.31,224.72,107098.26,107098.26,107098.26,107098.26,100284.96,91133.79,106579.32,107632.04,109901.08,106206.39,0
DULCE FERREIRA PAGANI MIRANDA,M,84.0,8.0,0.0,78.0,11.0,8.0,15/12/1963,0,33763.0,385152.2,1102626.13,17405.28,54422.42,66007.2,43629.27,48597.93,16964.63,42936.18,44081.35,12900.31,38029.26,178.37,111515.73,108469.11,109947.21,108778.45,110497.62,110780.17,110780.17,110780.17,110297.33,110780.17,0
EDNACE ALVES SILVESTRE HENRIQUE,M,52.0,9.0,1.0,13.0,7.0,6.0,04/09/1958,0,33763.0,245404.75,1109015.64,0,0,0,21722.42,41564.86,44584.53,40428.22,32338.39,34109.42,30426.91,230.0,110222.29,107865.76,109797.12,111663.63,111512.59,111590.85,111590.85,111590.85,111590.85,111590.85,0
ROSANGELA DE SOUZA GOMES,M,77.0,15.0,0.0,2.0,0.0,0.0,27/12/1966,2,33763.0,326569.14,1114958.7,35619.36,53038.08,41099.12,30910.68,40356.2,24832.33,27594.88,28932.93,13329.32,30667.03,189.21,111495.87,111495.87,111495.87,111495.87,111495.87,111495.87,111495.87,111495.87,111495.87,111495.87,0
RENATA HELLMEISTER DE ABREU,M,48.0,14.0,0.0,5.0,10.0,18.0,15/04/1982,0,33763.0,208238.76,1073067.29,31109.86,32113.25,42089.94,31671.65,42896.72,3728.86,0,0,0,22911.39,1717.09,96622.36,104075.25,110440.45,106841.6,108188.68,109718.62,106018.07,110109.96,110476.84,110575.46,0
ROSIANE MODESTO  DE OLIVEIRA,M,77.0,9.0,6.0,0.0,0.0,4.0,20/02/1978,0,33763.0,201387.81,1056422.1,16532.25,28174.06,22572.8,28359.47,28108.83,26531.02,14867.91,6958.44,8464.46,17350.1,3468.47,109718.66,110767.63,111653.67,111653.67,109880.49,109891.34,111617.27,97483.92,90265.59,93489.86,0
SAMIA DE SOUZA BOMFIM,M,78.0,14.0,0.0,32.0,0.0,3.0,22/08/1989,0,33763.0,320776.66,1089070.53,29863.31,33173.07,52100.08,33373.57,49527.82,25800.86,31637.36,25034.27,10727.26,25539.06,4000.0,101425.05,108439.14,108239.71,106353.47,110257.66,110871.1,110871.1,110871.1,110871.1,110871.1,0
SHÉRIDAN ESTÉRFANY OLIVEIRA RAMOS,M,53.0,35.0,4.0,0.0,0.0,3.0,11/04/1984,0,33763.0,403635.64,1045548.64,47717.67,50310.81,47454.5,20489.75,41030.4,35713.64,41489.54,36464.07,37465.47,41866.9,3632.89,104351.76,98699.47,100259.52,100363.57,99170.39,111192.45,104911.24,108772.24,109791.3,108036.7,0
SILVIA CRISTINA AMANCIO CHAGAS,M,89.0,2.0,1.0,55.0,5.0,31.0,15/01/1974,0,33763.0,325913.39,1112657.25,38497.24,41381.49,41593.07,52095.78,77841.57,30489.93,21356.3,8189.34,4412.39,7253.38,2802.9,111374.48,110870.15,110767.11,111370.23,111247.85,111259.6,111526.12,111514.99,111410.91,111315.81,0
TEREZA CRISTINA CORREA DA COSTA DIAS,M,63.0,2.0,4.0,59.0,1.0,6.0,06/07/1954,0,33763.0,152145.45,682604.66,0,0,0.04,21629.55,17413.02,24574.99,29064.98,17058.41,14118.74,23763.02,4522.7,0.0,0.0,1279.5,71166.6,104538.87,108750.39,111222.82,102614.06,93234.05,89798.37,0
LUIZA ERUNDINA DE SOUSA,M,78.0,14.0,0.0,37.0,9.0,14.0,30/11/1934,0,33763.0,222485.05,984473.08,17316.28,17369.22,13312.38,23549.05,49196.58,41316.33,41450.36,18601.72,126.15,0.0,246.98,106370.19,98801.78,96737.67,96737.67,96737.67,96737.67,96737.67,96737.67,96737.67,102137.42,0
SORAYA ALENCAR DOS SANTOS,M,90.0,2.0,0.0,29.0,0.0,16.0,04/12/1958,0,33763.0,247439.6,1088262.38,30377.64,25882.69,44839.17,32605.66,18501.89,34461.17,25720.88,19262.46,5904.46,9654.69,228.89,109912.12,110159.23,104418.43,104366.11,108917.92,108917.92,109011.86,110852.93,110852.93,110852.93,0
TABATA CLAUDIA AMARAL DE PONTES,M,88.0,1.0,3.0,137.0,0.0,9.0,14/11/1993,1,33763.0,284592.2,744732.36,38950.69,27888.06,35331.21,32068.77,49942.23,49334.59,25146.0,5016.41,3076.08,17821.14,17.02,90049.89,91799.32,91532.51,93743.68,102729.84,100032.77,52077.47,38232.71,30268.49,54265.68,0
VIVIANE DA COSTA REIS,M,81.0,11.0,0.0,79.0,18.0,21.0,05/08/1991,1,33763.0,364896.71,1108885.82,50505.11,33624.12,47121.22,42779.32,38398.45,36910.98,40803.83,27107.07,21698.14,25660.38,288.09,111413.83,111501.88,108988.28,109564.43,110684.14,111041.26,111423.0,111423.0,111423.0,111423.0,0
TALIRIA PETRONE SOARES,M,76.0,14.0,2.0,27.0,19.0,32.0,09/04/1985,0,33763.0,273733.18,1114287.26,35801.22,32189.96,31865.89,45403.28,29413.08,37323.98,24098.94,23355.39,10439.8,3279.24,562.4,111647.51,111647.51,111647.51,111555.29,111584.31,111647.53,111647.53,110216.76,111417.0,111276.31,0
LUIZIANNE DE OLIVEIRA LINS,M,82.0,7.0,3.0,5.0,6.0,10.0,18/11/1968,0,33763.0,394598.68,1116014.42,43009.21,49188.28,62832.39,40398.85,50556.05,27655.84,25583.94,56182.22,8648.41,30543.49,0.0,111647.55,111647.55,111647.55,111647.55,111647.55,111647.55,111532.28,111532.28,111532.28,111532.28,0
TEREZA NELMA DA SILVA PORTO VIANA SOARES,M,79.0,13.0,0.0,103.0,49.0,36.0,07/10/1957,0,33763.0,366423.07,1096693.18,42581.54,41297.61,47878.77,54271.73,56885.66,33460.03,30126.11,27479.91,24726.16,3330.45,4385.1,111471.49,109973.66,109423.19,109733.42,109422.19,104705.24,109483.86,110785.88,110860.47,110833.78,0
MAGDA MOFATTO HON,M,77.0,3.0,12.0,28.0,6.0,36.0,26/10/1948,0,33763.0,247802.06,1079760.32,41429.43,31068.63,47136.54,47632.39,46414.73,19428.88,6001.17,8505.69,115.33,69.27,0.0,103642.03,111061.35,110458.33,109242.74,110160.73,111392.46,111429.23,111429.23,100201.81,100742.41,0
FABIANA SILVA DE SOUZA,M,76.0,11.0,5.0,22.0,4.0,0.0,09/01/1980,0,33763.0,246957.42,1113455.24,19669.14,45316.31,52715.53,30152.26,32781.41,27385.49,25479.97,6199.02,5005.38,1966.38,286.53,111544.24,111438.52,111398.27,111315.37,111119.65,111039.6,111350.2,111350.2,111554.84,111344.35,0
MARGARETE DE CASTRO COELHO,M,81.0,10.0,1.0,58.0,9.0,18.0,12/03/1961,2,33763.0,379382.14,1079379.91,45113.84,50976.4,52735.6,50764.85,28872.48,40798.7,35963.33,15107.77,13877.11,44057.01,1115.05,110943.91,108857.07,110120.74,99024.19,107482.1,108590.38,108590.38,108590.38,108590.38,108590.38,0
MARIA DO ROSÁRIO NUNES,M,77.0,6.0,9.0,48.0,12.0,22.0,22/11/1966,0,33763.0,390276.93,1090821.34,45949.2,43740.41,69986.28,49177.17,42746.98,41192.91,36138.61,26246.21,12312.33,20699.73,2087.1,108772.35,108772.35,108876.06,111047.03,106150.54,107898.86,108449.48,109367.19,110743.74,110743.74,0
CYLMARA FERNANDES DA ROCHA GRIPP,M,77.0,14.0,1.0,30.0,6.0,16.0,04/09/1973,0,33763.0,431336.2,1108625.39,56886.05,57867.3,54199.26,62724.01,46657.4,33841.62,21007.85,23443.28,30345.94,44363.49,0.0,110779.96,110779.96,110779.96,110779.96,110779.96,109894.35,110779.96,110983.86,111574.61,111492.81,0
MARIA DO PARTO MENDES ROSAS,M,62.0,0.0,0.0,41.0,0.0,2.0,01/10/1965,0,33763.0,187328.36,1099115.16,0,0,0,18825.99,31183.42,39925.5,29239.92,24673.76,27178.62,16101.15,200.0,106936.54,107061.76,110238.71,111538.37,111538.37,109915.15,107599.1,111210.42,111538.37,111538.37,0
MARIANA FONSECA RIBEIRO CARVALHO DE MORAES,M,53.0,4.0,4.0,14.0,4.0,6.0,26/11/1986,1,33763.0,203702.64,1087643.97,20869.22,24814.35,47199.17,40425.87,61996.18,1826.39,0,0,0,6249.12,322.34,110447.75,111310.98,111014.24,111416.94,111416.94,110963.22,109667.84,104478.85,105163.12,101764.09,0
